Ride_ID,Customer_ID,Driver_ID,Booking_Date,Booking_Time,City,Pickup_Location,Drop_Location,Vehicle_Type,Distance_KM,Ride_Duration_Min,Base_Fare,Discount,Final_Fare,Payment_Method,Ride_Status,Customer_Rating,Driver_Age,Customer_Age,Surge_Pricing
RIDE000001,CUST2679,DR792,2025-03-23,01:39:00,Chennai,Babu Circle,Din Zila,Cab,1.85,40,22.5,0.78,21.72,UPI,In Progress,4,23,19,Yes
RIDE000002,CUST9928,DR529,2025-06-09,04:58:00,Pune,Loyal Path,Kara Road,Auto,8.91,82,75.3,3.74,71.56,Wallet,Cancelled,1,31,45,No
RIDE000003,CUST2584,DR467,2025-07-22,08:09:00,Kolkata,Subramanian Street,Garde Marg,Auto,6.29,102,86.31,2.0,84.31,Wallet,Cancelled,1,50,52,Yes
RIDE000004,CUST6925,DR691,2025-10-03,15:22:00,Pune,Sandal Street,Luthra Street,Cab,3.68,42,81.33,12.58,68.75,UPI,Completed,2,39,23,Yes
RIDE000005,CUST7065,DR463,2025-03-15,13:07:00,Pune,Sachdeva Zila,Ray Chowk,Cab,13.92,63,261.79,23.88,237.91,Credit Card,In Progress,1,31,52,Yes
RIDE000006,CUST4598,DR801,2025-04-29,23:39:00,Bangalore,Johal Ganj,Swaminathan Ganj,Bike,16.72,39,415.02,66.4,348.62,Cash,Completed,3,46,35,Yes
RIDE000007,CUST9179,DR505,2025-06-03,15:11:00,Chennai,Doctor,Goswami,Auto,32.05,77,733.89,57.73,676.16,Cash,Cancelled,2,36,53,No
RIDE000008,CUST3266,DR621,2025-11-08,23:25:00,Delhi,Gola Road,Singhal Path,Bike,31.53,56,446.27,111.27,335.0,UPI,Completed,2,31,45,Yes
RIDE000009,CUST1188,DR796,2025-10-08,04:17:00,Chennai,Agate Zila,Bala Chowk,Bike,13.98,64,237.59,57.68,179.91,Wallet,Cancelled,3,28,36,No
RIDE000010,CUST9201,DR880,2025-04-26,04:00:00,Pune,Bajaj Road,Kumer Circle,Cab,16.43,97,376.07,24.76,351.31,UPI,In Progress,3,53,56,Yes
RIDE000011,CUST9689,DR100,2025-04-22,07:03:00,Hyderabad,Bhatti Street,Sankaran Road,Auto,13.71,25,235.39,45.82,189.57,Debit Card,Completed,1,44,37,Yes
RIDE000012,CUST8962,DR935,2025-02-12,04:18:00,Mumbai,Venkataraman Ganj,Thakur Path,Cab,9.19,77,221.46,4.74,216.72,Cash,Completed,4,31,34,No
RIDE000013,CUST6107,DR508,2025-06-04,05:26:00,Chennai,Sachdeva Circle,Cherian Street,Cab,32.58,101,664.92,33.44,631.48,Credit Card,Cancelled,5,49,25,Yes
RIDE000014,CUST4608,DR107,2025-06-13,14:52:00,Mumbai,Sidhu Path,Keer Street,Cab,3.18,7,57.24,3.29,53.95,UPI,Completed,1,23,39,Yes
RIDE000015,CUST8744,DR348,2025-06-23,07:25:00,Kolkata,Venkataraman Ganj,Tripathi,Auto,10.47,67,121.89,4.03,117.86,Debit Card,Completed,1,27,60,No
RIDE000016,CUST2612,DR162,2025-09-15,23:47:00,Delhi,Loke Zila,Sachar,Cab,15.4,64,349.35,4.73,344.62,Credit Card,Completed,2,33,30,No
RIDE000017,CUST2235,DR553,2025-04-13,01:51:00,Kolkata,Dani Chowk,Dave Path,Cab,15.34,40,243.36,53.2,190.16,UPI,Completed,5,21,23,Yes
RIDE000018,CUST1960,DR268,2025-05-02,02:29:00,Delhi,Shankar Street,Sarna,Bike,14.82,66,172.41,17.29,155.12,Debit Card,Cancelled,4,39,45,No
RIDE000019,CUST9883,DR162,2025-04-23,17:16:00,Chennai,Raman Zila,Datta Zila,Auto,7.46,32,182.53,26.43,156.1,UPI,Completed,5,51,50,Yes
